profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,classification
True,True,6944,67,0.009647,10,False,False,False,False,0,4.3,7,2,1.702939,2.9,0.076839,0.1,1,0,0.316228,0.1,2.666667,1135236,4328792,374,1374579.371128,1889468447532,1.566863,False
True,True,7296,402,0.055091,48,False,False,True,False,8,15.2,50,0,10.927793,119.416667,1.564256,0.4,5,0,1.040833,1.083333,3.665863,2198884.833333,38936658,32,7982176.252122,63715137719941.79,4.321601,False
True,False,147,43,0.290541,59,False,False,False,False,0,5.68,10,2,2.37557,5.643333,0.180308,0.08,2,0,0.4,0.16,4.694855,584485.5,8008415,5,1713640.370753,2936563320275.0435,3.701635,False
True,True,1046,239,0.228271,110,False,False,False,False,2,11.36,21,5,3.882439,15.073333,0.436827,0.12,1,0,0.331662,0.11,2.338738,144600.875,615405,18,189349.412463,35853199999.940216,1.394935,False
True,True,2568,826,0.321526,222,True,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
True,True,2286,404,0.176651,32,True,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
False,False,835,17,0.020335,3,False,False,False,False,0,1,2,0,1,1,0,0,0,0,0,0,0,609145.5,1218272,19,861434.957501,742070186004.5,0,False
True,False,164,4,0.024242,17,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,15.625,61,7,13.285957,176.516667,2.664806,False
False,True,6800,67,0.009851,0,False,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
False,False,461,11,0.02381,1,False,False,False,False,0,2,2,2,NaN,NaN,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,False
True,False,6460,105,0.016251,6,False,False,False,False,0,5.5,11,3,2.880972,8.3,1.319368,0,0,0,0,0,0,1080139.2,2131971,194852,764251.100636,584079744822.7,0.281894,False
False,False,1987,23,0.011569,10,False,False,False,False,0,0.8,3,0,1.032796,1.066667,1.046136,0.3,2,0,0.674949,0.455556,1.919795,3637926,11167406,694337,3833907.281689,14698845044588,0.938549,False
True,True,5421,765,0.141092,415,False,False,True,False,14,14.92,34,4,7.723989,59.66,0.498858,0.04,1,0,0.2,0.04,4.694855,10323.375,219825,95,44701.272635,1998203775.201087,4.562062,False
True,False,6401,51,0.007966,2,False,False,False,False,0,8,11,5,4.242641,18,0,0.5,1,0,0.707107,0.5,0,18731,18731,18731,NaN,NaN,0,False
True,True,940,489,0.51966,2,True,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,True
True,True,6940,1179,0.16986,159,False,False,True,False,1,127.6,269,55,49.160452,2416.75,0.850409,3.68,8,0,1.973153,3.893333,0.523241,1181787.125,13950908,31,3148992.696516,9916155002709.158,3.173628,False
True,True,295,210,0.709459,14,False,False,True,False,3,13.857143,26,5,6.948792,48.285714,0.319058,0.142857,2,0,0.534522,0.285714,3.328201,3404713.923077,39740826,1870,10926106.776107,119379809282894.6,3.16682,False
True,True,111,50,0.446429,2,False,False,False,False,0,3.5,5,2,2.12132,4.5,0,0,0,0,0,0,0,971209,971209,971209,NaN,NaN,0,False
True,False,5291,44,0.008314,22,True,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
True,True,4053,1902,0.469166,4,False,False,True,False,2,7.75,11,4,3.304038,10.916667,-0.132056,0.5,2,0,1,1,1.154701,183547,276244,8542,151647.767372,22997045349,-0.703375,False
True,False,116,65,0.555556,1,False,False,False,False,0,1,1,1,NaN,NaN,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,False
True,False,6116,2144,0.350499,476,False,False,True,False,4,38.04,71,20,12.677013,160.706667,0.949596,0.64,6,0,1.577973,2.49,2.56192,597880.333333,3263221,3885,754957.828066,569961322157.4492,2.080293,False
True,True,6823,2073,0.303781,36,False,False,True,False,10,60.84,375,9,89.799629,8063.973333,2.505108,1.84,9,0,2.357258,5.556667,1.519793,753188.875,4315146,59,1270471.723065,1614098399106.723,1.796787,False
